,date,Community_N,Community_P,Community_Nan,News_N,News_P,News_Nan
0,2021-10-05,0,0,1,0,1,0
1,2021-10-07,0,0,1,0,1,0
2,2021-10-08,0,0,1,0,1,0
3,2021-10-10,1,0,0,0,0,1
4,2021-10-11,0,0,1,0,1,0
5,2021-10-13,0,0,1,0,1,0
6,2021-10-14,0,0,1,0,1,0
7,2021-10-15,0,0,1,0,1,0
8,2021-10-18,0,0,1,0,1,0
9,2021-10-19,1,0,0,0,1,0
10,2021-10-20,0,0,1,0,1,0
11,2021-10-21,0,0,1,0,1,0
12,2021-10-22,0,0,1,0,1,0
13,2021-10-25,0,0,1,0,1,0
14,2021-10-26,0,0,1,0,1,0
15,2021-10-27,0,0,1,0,1,0
16,2021-10-28,0,1,0,0,1,0
17,2021-10-29,1,0,0,0,1,0
18,2021-10-30,0,0,1,0,1,0
19,2021-10-31,0,0,1,0,1,0
20,2021-11-01,0,0,1,0,1,0
21,2021-11-02,0,0,1,0,1,0
22,2021-11-03,0,0,1,0,1,0
23,2021-11-04,0,0,1,0,1,0
24,2021-11-05,0,0,1,0,1,0
25,2021-11-07,0,0,1,0,1,0
26,2021-11-08,0,0,1,0,1,0
27,2021-11-10,0,0,1,0,1,0
28,2021-11-11,0,0,1,0,1,0
29,2021-11-13,0,1,0,0,0,1
30,2021-11-15,0,0,1,0,1,0
31,2021-11-16,0,0,1,0,1,0
32,2021-11-17,0,0,1,0,1,0
33,2021-11-18,0,0,1,1,0,0
34,2021-11-19,0,0,1,0,1,0
35,2021-11-20,0,0,1,0,1,0
36,2021-11-21,0,0,1,0,1,0
37,2021-11-22,0,0,1,1,0,0
38,2021-11-23,0,0,1,1,0,0
39,2021-11-24,0,0,1,0,1,0
40,2021-11-25,0,0,1,0,1,0
41,2021-11-27,0,0,1,0,1,0
42,2021-11-28,0,1,0,0,1,0
43,2021-11-29,0,0,1,0,1,0
44,2021-11-30,0,0,1,0,1,0
45,2021-12-01,0,0,1,0,1,0
46,2021-12-02,0,0,1,0,1,0
47,2021-12-03,0,1,0,0,1,0
48,2021-12-04,0,0,1,1,0,0
49,2021-12-05,0,1,0,0,1,0
50,2021-12-06,0,0,1,1,0,0
51,2021-12-07,0,1,0,0,1,0
52,2021-12-08,0,0,1,0,1,0
53,2021-12-09,0,0,1,0,1,0
54,2021-12-10,0,0,1,0,1,0
55,2021-12-11,0,0,1,0,1,0
56,2021-12-12,0,0,1,0,1,0
57,2021-12-13,0,0,1,0,1,0
58,2021-12-14,0,0,1,0,1,0
59,2021-12-15,0,0,1,0,1,0
60,2021-12-17,1,0,0,0,1,0
61,2021-12-18,0,0,1,0,1,0
62,2021-12-19,0,0,1,0,1,0
63,2021-12-20,0,1,0,0,1,0
64,2021-12-21,0,0,1,0,1,0
65,2021-12-22,0,0,1,0,1,0
66,2021-12-23,0,1,0,0,1,0
67,2021-12-24,0,0,1,0,1,0
68,2021-12-26,0,0,1,0,1,0
69,2021-12-27,0,0,1,0,1,0
70,2021-12-28,0,0,1,0,1,0
71,2021-12-29,0,0,1,0,1,0
72,2021-12-30,0,1,0,0,1,0
73,2021-12-31,0,0,1,0,1,0
74,2022-01-01,0,0,1,0,1,0
75,2022-01-02,0,0,1,0,1,0
76,2022-01-03,0,0,1,0,1,0
77,2022-01-04,0,0,1,0,1,0
78,2022-01-05,0,0,1,0,1,0
79,2022-01-06,0,0,1,0,1,0
80,2022-01-07,0,0,1,0,1,0
81,2022-01-09,0,0,1,0,1,0
82,2022-01-10,0,0,1,1,0,0
83,2022-01-11,0,0,1,1,0,0
84,2022-01-12,0,0,1,0,1,0
85,2022-01-13,0,0,1,0,1,0
86,2022-01-16,0,0,1,0,1,0
87,2022-01-17,0,0,1,0,1,0
88,2022-01-18,0,0,1,0,1,0
89,2022-01-19,0,0,1,0,1,0
90,2022-01-20,0,1,0,1,0,0
91,2022-01-21,0,0,1,1,0,0
92,2022-01-22,0,0,1,0,1,0
93,2022-01-23,0,1,0,0,1,0
94,2022-01-24,0,0,1,1,0,0
95,2022-01-25,0,0,1,0,1,0
96,2022-01-26,0,0,1,1,0,0
97,2022-01-27,0,0,1,0,1,0
98,2022-01-28,0,0,1,0,1,0
99,2022-01-29,0,0,1,0,1,0
100,2022-01-30,0,0,1,0,1,0
101,2022-01-31,1,0,0,0,1,0
102,2022-02-01,0,0,1,1,0,0
103,2022-02-02,0,0,1,0,1,0
104,2022-02-03,0,0,1,0,1,0
105,2022-02-04,0,0,1,1,0,0
106,2022-02-05,0,0,1,0,1,0
107,2022-02-06,0,0,1,0,1,0
108,2022-02-07,0,0,1,0,1,0
109,2022-02-08,0,1,0,0,1,0
110,2022-02-09,0,1,0,0,1,0
111,2022-02-10,0,0,1,0,1,0
112,2022-02-11,0,0,1,0,1,0
113,2022-02-13,0,0,1,0,1,0
114,2022-02-14,0,0,1,0,1,0
115,2022-02-15,0,0,1,0,1,0
116,2022-02-17,0,0,1,0,1,0
117,2022-02-19,0,0,1,0,1,0
118,2022-02-23,0,0,1,0,1,0
119,2022-02-24,0,0,1,1,0,0
120,2022-02-27,0,0,1,1,0,0
121,2022-02-28,0,0,1,0,1,0
122,2022-03-01,0,0,1,1,0,0
123,2022-03-02,0,0,1,0,1,0
124,2022-03-03,0,0,1,0,1,0
125,2022-03-04,0,0,1,1,0,0
126,2022-03-05,0,0,1,1,0,0
127,2022-03-07,0,0,1,1,0,0
128,2022-03-08,0,0,1,1,0,0
129,2022-03-09,0,0,1,1,0,0
130,2022-03-12,0,0,1,1,0,0
131,2022-03-13,0,0,1,1,0,0
132,2022-03-14,0,0,1,1,0,0
133,2022-03-15,0,0,1,1,0,0
134,2022-03-16,0,0,1,0,1,0
135,2022-03-17,0,0,1,0,1,0
136,2022-03-18,0,0,1,0,1,0
137,2022-03-20,0,1,0,1,0,0
138,2022-03-21,0,1,0,0,1,0
139,2022-03-22,0,1,0,0,1,0
140,2022-03-23,0,1,0,0,0,1
141,2022-03-24,0,0,1,0,1,0
142,2022-03-25,0,1,0,0,1,0
143,2022-03-26,0,0,1,0,1,0
144,2022-03-27,0,0,1,0,1,0
145,2022-03-28,0,0,1,0,1,0
146,2022-03-29,0,0,1,0,1,0
147,2022-03-30,0,1,0,0,1,0
148,2022-03-31,0,1,0,0,1,0
149,2022-04-01,0,1,0,1,0,0
150,2022-04-04,0,0,1,0,1,0
151,2022-04-05,0,0,1,1,0,0
152,2022-04-06,0,0,1,0,1,0
153,2022-04-10,0,0,1,0,1,0
154,2022-04-11,0,0,1,0,1,0
155,2022-04-12,0,0,1,1,0,0
156,2022-04-13,0,1,0,0,1,0
157,2022-04-14,0,0,1,0,1,0
158,2022-04-15,0,1,0,1,0,0
159,2022-04-16,0,0,1,1,0,0
160,2022-04-17,0,0,1,1,0,0
161,2022-04-18,0,1,0,0,1,0
162,2022-04-19,0,1,0,1,0,0
163,2022-04-20,0,0,1,1,0,0
164,2022-04-21,0,0,1,1,0,0
165,2022-04-22,0,0,1,1,0,0
166,2022-04-25,0,0,1,0,1,0
167,2022-04-26,0,0,1,0,1,0
168,2022-04-27,0,0,1,1,0,0
169,2022-04-28,0,0,1,1,0,0
170,2022-04-29,1,0,0,1,0,0
171,2022-04-30,0,0,1,0,1,0
172,2022-05-02,0,1,0,0,1,0
173,2022-05-03,0,0,1,1,0,0
174,2022-05-04,0,0,1,1,0,0
175,2022-05-05,0,0,1,1,0,0
176,2022-05-06,0,0,1,1,0,0
177,2022-05-07,0,0,1,1,0,0
178,2022-05-08,0,0,1,1,0,0
179,2022-05-09,0,0,1,1,0,0
180,2022-05-10,0,0,1,1,0,0
181,2022-05-11,0,0,1,1,0,0
182,2022-05-12,0,0,1,1,0,0
183,2022-05-13,0,0,1,0,1,0
184,2022-05-16,0,0,1,1,0,0
185,2022-05-17,0,1,0,1,0,0
186,2022-05-18,0,0,1,1,0,0
187,2022-05-19,0,0,1,0,1,0
188,2022-05-20,0,0,1,1,0,0
189,2022-05-23,0,0,1,1,0,0
190,2022-05-25,1,0,0,0,1,0
191,2022-05-26,0,0,1,1,0,0
192,2022-05-27,0,0,1,1,0,0
193,2022-05-28,0,0,1,0,1,0
194,2022-05-30,0,0,1,1,0,0
195,2022-05-31,0,0,1,0,1,0
196,2022-06-02,0,0,1,1,0,0
197,2022-06-07,0,0,1,0,1,0
198,2022-06-08,0,0,1,0,1,0
199,2022-06-09,0,0,1,1,0,0
200,2022-06-10,0,0,1,1,0,0
201,2022-06-11,0,0,1,0,1,0
202,2022-06-13,0,0,1,1,0,0
203,2022-06-15,0,0,1,1,0,0
204,2022-06-17,0,0,1,1,0,0
205,2022-06-18,0,0,1,0,1,0
206,2022-06-19,0,0,1,1,0,0
207,2022-06-20,0,0,1,1,0,0
208,2022-06-21,0,0,1,1,0,0
209,2022-06-22,0,0,1,1,0,0
210,2022-06-24,1,0,0,1,0,0
211,2022-06-27,0,0,1,0,1,0
212,2022-06-28,0,0,1,0,1,0
213,2022-06-29,0,0,1,0,1,0
214,2022-06-30,0,0,1,0,1,0
215,2022-07-01,0,0,1,0,1,0
216,2022-07-02,0,0,1,1,0,0
217,2022-07-04,0,0,1,0,1,0
218,2022-07-05,0,0,1,0,1,0
219,2022-07-06,0,0,1,1,0,0
220,2022-07-07,0,0,1,1,0,0
221,2022-07-08,0,0,1,0,1,0
222,2022-07-10,0,0,1,0,1,0
223,2022-07-11,0,0,1,1,0,0
224,2022-07-12,0,0,1,1,0,0
225,2022-07-13,0,0,1,0,1,0
226,2022-07-14,0,0,1,1,0,0
227,2022-07-18,0,0,1,0,1,0
228,2022-07-20,0,0,1,1,0,0
229,2022-07-21,0,0,1,0,1,0
230,2022-07-22,0,0,1,0,1,0
231,2022-07-23,0,0,1,0,1,0
232,2022-07-24,0,0,1,0,1,0
233,2022-07-26,0,0,1,0,1,0
234,2022-07-27,1,0,0,0,1,0
235,2022-07-28,0,0,1,1,0,0
236,2022-07-29,0,0,1,1,0,0
237,2022-08-02,0,0,1,1,0,0
238,2022-08-03,0,0,1,1,0,0
239,2022-08-04,0,0,1,1,0,0
240,2022-08-05,0,0,1,1,0,0
241,2022-08-07,0,0,1,0,1,0
242,2022-08-09,0,0,1,1,0,0
243,2022-08-10,0,0,1,1,0,0
244,2022-08-11,0,0,1,0,1,0
245,2022-08-15,0,0,1,1,0,0
246,2022-08-16,0,0,1,1,0,0
247,2022-08-17,0,0,1,1,0,0
248,2022-08-18,0,0,1,1,0,0
249,2022-08-19,0,0,1,1,0,0
250,2022-08-21,0,0,1,1,0,0
251,2022-08-22,0,0,1,0,1,0
252,2022-08-23,0,0,1,1,0,0
253,2022-08-24,0,0,1,1,0,0
254,2022-08-25,0,0,1,1,0,0
255,2022-08-26,0,0,1,0,1,0
256,2022-08-28,0,0,1,0,1,0
257,2022-08-29,0,0,1,0,1,0
258,2022-08-30,0,0,1,0,1,0
259,2022-08-31,0,1,0,0,1,0
260,2022-09-01,0,0,1,1,0,0
261,2022-09-02,1,0,0,1,0,0
262,2022-09-03,0,0,1,0,1,0
263,2022-09-04,0,0,1,0,1,0
264,2022-09-05,1,0,0,0,1,0
265,2022-09-06,0,0,1,1,0,0
266,2022-09-07,0,0,1,0,1,0
267,2022-09-08,0,1,0,0,1,0
268,2022-09-09,0,0,1,0,1,0
269,2022-09-11,0,0,1,0,1,0
270,2022-09-13,0,0,1,0,1,0
271,2022-09-14,0,0,1,0,1,0
272,2022-09-17,0,0,1,1,0,0
273,2022-09-18,0,0,1,1,0,0
274,2022-09-19,0,0,1,1,0,0
275,2022-09-21,0,0,1,0,1,0
276,2022-09-22,0,0,1,0,1,0
277,2022-09-23,0,0,1,1,0,0
278,2022-09-26,0,0,1,0,1,0
279,2022-09-27,0,0,1,1,0,0
280,2022-09-29,0,0,1,1,0,0
281,2022-09-30,0,0,1,0,1,0
